Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
165,Odell Beckham\BeckOd00,NYG,25,wr,4,2,41,25,61.00%,302,12.1,3,48,7.4,6.3,75.5,0
166,Tyler Higbee\HigbTy00,LAR,24,TE,16,16,45,25,55.60%,295,11.8,1,38,6.6,1.6,18.4,0
167,Dontrelle Inman\InmaDo00,2TM,28,WR,12,7,44,25,56.80%,343,13.7,1,26,7.8,2.1,28.6,0
168,Jordan Matthews\MattJo00,BUF,25,wr,10,7,36,25,69.40%,282,11.3,1,47,7.8,2.5,28.2,1
169,Jamaal Williams\WillJa06,GNB,22,rb,16,7,34,25,73.50%,262,10.5,2,54,7.7,1.6,16.4,0
170,Jay Ajayi\AjayJa00,2TM,24,RB,14,8,34,24,70.60%,158,6.6,1,32,4.6,1.7,11.3,3
171,Josh Bellamy\BellJo02,CHI,28,wr,15,7,46,24,52.20%,376,15.7,1,46,8.2,1.6,25.1,0
172,Rhett Ellison\ElliRh00,NYG,29,TE,16,14,32,24,75.00%,235,9.8,2,27,7.3,1.5,14.7,0
173,Marcedes Lewis\LewiMa00,JAX,33,TE,16,16,48,24,50.00%,318,13.3,5,37,6.6,1.5,19.9,0
174,Geronimo Allison\AlliGe01,GNB,23,wr,15,2,39,23,59.00%,253,11,0,72,6.5,1.5,16.9,2
175,Trey Burton\BurtTr01,PHI,26,te,15,1,31,23,74.20%,248,10.8,5,27,8,1.5,16.5,0
176,Jamaal Charles\CharJa00,DEN,31,RB,14,0,28,23,82.10%,129,5.6,0,20,4.6,1.6,9.2,2
177,Brandon Coleman\ColeBr00,NOR,25,wr,16,6,37,23,62.20%,364,15.8,3,54,9.8,1.4,22.8,2
178,Corey Coleman\ColeCo00,CLE,23,WR,9,8,58,23,39.70%,305,13.3,2,44,5.3,2.6,33.9,0
179,Alex Collins\CollAl00,BAL,23,RB,15,12,36,23,63.90%,187,8.1,0,37,5.2,1.5,12.5,4
180,Jordan Howard\HowaJo00,CHI,23,RB,16,16,32,23,71.90%,125,5.4,0,12,3.9,1.4,7.8,1
181,Ty Montgomery\MontTy01,GNB,24,rb,8,5,31,23,74.20%,173,7.5,1,23,5.6,2.9,21.6,0
182,Bilal Powell\PoweBi00,NYJ,29,RB,15,10,33,23,69.70%,170,7.4,0,31,5.2,1.5,11.3,1
183,Chester Rogers\RogeCh02,IND,23,wr,11,4,37,23,62.20%,284,12.3,1,61,7.7,2.1,25.8,0
184,Tyler Boyd\BoydTy00,CIN,23,wr,10,1,32,22,68.80%,225,10.2,2,49,7,2.2,22.5,0
185,Coby Fleener\FleeCo00,NOR,29,TE,11,0,30,22,73.30%,295,13.4,2,33,9.8,2,26.8,0
186,Jeremy Kerley\KerlJe00,NYJ,29,wr,8,2,27,22,81.50%,217,9.9,1,31,8,2.8,27.1,3
187,Nick O'Leary\OLeaNi00,BUF,25,te,15,5,32,22,68.80%,322,14.6,2,32,10.1,1.5,21.5,1
188,Samaje Perine\PeriSa00,WAS,22,RB,16,8,24,22,91.70%,182,8.3,1,25,7.6,1.4,11.4,2
189,Matt Breida\BreiMa00,SFO,22,RB,16,0,36,21,58.30%,180,8.6,1,32,5,1.3,11.3,1
190,John Brown\BrowJo02,ARI,27,wr,10,5,55,21,38.20%,299,14.2,3,52,5.4,2.1,29.9,0
191,Garrett Celek\CeleGa00,SFO,29,fb/TE,16,13,33,21,63.60%,336,16,4,61,10.2,1.3,21,0
192,A.J. Derby\DerbA.00,2TM,26,,11,1,40,21,52.50%,244,11.6,2,29,6.1,1.9,22.2,1
193,Chris Ivory\IvorCh00,JAX,29,rb,14,3,28,21,75.00%,175,8.3,1,29,6.3,1.5,12.5,2
194,Marlon Mack\MackMa00,IND,21,RB,14,0,33,21,63.60%,225,10.7,1,34,6.8,1.5,16.1,1
195,Demarcus Robinson\RobiDe01,KAN,23,WR,16,8,39,21,53.80%,212,10.1,0,33,5.4,1.3,13.3,0
196,Kenny Britt\BritKe00,2TM,29,WR,12,4,43,20,46.50%,256,12.8,2,38,6,1.7,21.3,0
197,Benny Cunningham\CunnBe01,CHI,27,RB,14,0,26,20,76.90%,240,12,2,40,9.2,1.4,17.1,1
198,Justin Hardy\HardJu00,ATL,26,wr,16,1,29,20,69.00%,221,11.1,3,27,7.6,1.3,13.8,1
199,Marshawn Lynch\LyncMa00,OAK,31,RB,15,15,31,20,64.50%,151,7.6,0,26,4.9,1.3,10.1,1
200,Zach Miller\MillZa02,CHI,33,te,8,6,35,20,57.10%,236,11.8,2,29,6.7,2.5,29.5,0
201,Terrelle Pryor\PryoTe00,WAS,28,wr,9,2,37,20,54.10%,240,12,1,44,6.5,2.2,26.7,0
202,Laquon Treadwell\TreaLa00,MIN,22,wr,16,7,35,20,57.10%,200,10,0,25,5.7,1.3,12.5,1
203,Damien Williams\WillDa05,MIA,25,rb,11,4,28,20,71.40%,155,7.8,1,24,5.5,1.8,14.1,0
204,Michael Campanaro\CampMi02,BAL,26,,13,0,27,19,70.40%,173,9.1,1,18,6.4,1.5,13.3,4
