Player,Team,Salary Cap Value,Cash Spent
Tanner McEvoy,Bills,22800,22800
Amba Etta-Tawo,Texans,22800,22800
C.J. Board,Jaguars,22800,22800
Jordan Smallwood,49ers,15200,15200
Deontez Alexander,Lions,15200,15200
Montay Crockett,Redskins,15200,15200
Brandon Reilly,Lions,15200,15200
Christian Blake,Falcons,15200,15200
DeAngelo Yancey,Jets,15200,15200
Jordan Veasy,Jaguars,15200,15200
Kalif Raymond,Titans,7600,7600
Rashard Davis,Raiders,7600,7600
Andre Levrone,Jaguars,7600,7600
ArDarius Stewart,Redskins,7600,7600
Carlos Henderson,Redskins,7600,7600
Brian Brown,Lions,7600,7600
Malik Turner\TurnMa00,Seahawks,7600,7600
Jimmy Williams,Broncos,3333,10000
Malik Turner\TurnMa00,Seahawks,0,0
