Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
190,David DeCastro\DeCaDa00,2018,28,24-Jan,PIT,NFL,14,14,1,1,0,8
191,Taylor Decker\DeckTa00,2018,25,16-Jan,DET,NFL,16,16,1,0,0,8
192,Stefon Diggs\DiggSt00,2018,25,5-146,MIN,NFL,15,14,1,0,0,8
193,Bud Dupree\DuprAl00,2018,25,22-Jan,PIT,NFL,16,15,1,0,0,8
194,Austin Ekeler\EkelAu00,2018,23,,LAC,NFL,14,3,1,0,0,8
195,Dan Feeney\FeenDa00,2018,24,Mar-71,LAC,NFL,16,16,1,0,0,8
196,Dee Ford\FordDe00,2018,27,23-Jan,KAN,NFL,16,16,1,1,0,8
197,Kenny Golladay\GollKe00,2018,25,Mar-96,DET,NFL,15,13,1,0,0,8
198,Brandon Graham\GrahBr99,2018,30,13-Jan,PHI,NFL,16,16,1,0,0,8
199,Lawrence Guy\GuyxLa00,2018,28,7-233,NWE,NFL,16,15,1,0,0,8
200,Dont'a Hightower\HighDo01,2018,28,25-Jan,NWE,NFL,15,15,1,0,0,8
201,Chris Hubbard\HubbCh00,2018,27,,CLE,NFL,16,16,1,0,0,8
202,Margus Hunt\HuntMa00,2018,31,Feb-53,IND,NFL,15,15,1,0,0,8
203,Lamar Jackson\JackLa00,2018,21,Jan-32,BAL,NFL,16,7,1,0,0,8
204,Malcolm Jenkins\JenkMa99,2018,31,14-Jan,PHI,NFL,16,16,1,1,0,8
205,Ryan Jensen\JensRy00,2018,27,6-203,TAM,NFL,16,16,1,0,0,8
206,Chandler Jones\JoneCh03,2018,28,21-Jan,ARI,NFL,16,16,1,0,0,8
207,DaQuan Jones\JoneDa04,2018,27,4-112,TEN,NFL,16,16,1,0,0,8
208,Ryan Kalil\KaliRy20,2018,33,Feb-59,CAR,NFL,16,16,1,0,0,8
209,Eric Kendricks\KendEr00,2018,26,Feb-45,MIN,NFL,14,14,1,0,0,8
210,Desmond King\KingDe01,2018,24,5-151,LAC,NFL,16,8,1,0,1,8
211,Ali Marpet\MarpAl00,2018,25,Feb-61,TAM,NFL,16,16,1,0,0,8
212,Mike McGlinchey\McGlMi00,2018,24,9-Jan,SFO,NFL,16,16,1,0,0,8
213,Lamar Miller\MillLa01,2018,27,Apr-97,HOU,NFL,14,14,1,1,0,8
214,D.J. Moore\MoorD.00,2018,21,24-Jan,CAR,NFL,16,10,1,0,0,8
215,Morgan Moses\MoseMo00,2018,27,Mar-66,WAS,NFL,16,16,1,0,0,8
