Player,Position,Team,DYAR,YAR,DOVA,VOA,Passes,Yards,EYds,TD,Catch Rate,Fum
Dez Bryant\BryaDe01,WR,DAL,-9,-8,-13.50%,-13.40%,132,838,859,6,52%,1
Cole Beasley\BeasCo00,WR,DAL,-22,-8,-16.90%,-14.30%,63,314,388,4,57%,0
Torrey Smith\SmitTo02,WR,PHI,-29,-26,-18.20%,-17.70%,69,427,386,2,54%,0
Brandon LaFell\LaFeBr00,WR,CIN,-30,-35,-16.90%,-17.60%,89,548,539,3,58%,1
Dede Westbrook\WestDe00,WR,JAC,-35,-24,-21.50%,-18.70%,51,339,269,1,53%,1
Roger Lewis\LewiRo03,WR,NYG,-35,-39,-18.70%,-19.50%,72,416,414,2,50%,0
Jeremy Maclin\MaclJe00,WR,BAL,-36,-17,-19.10%,-15.70%,72,440,401,3,56%,0
Emmanuel Sanders\SandEm00,WR,DEN,-40,-36,-18.20%,-17.60%,91,565,526,2,51%,0
Corey Coleman\ColeCo00,WR,CLE,-41,-60,-21.50%,-25.80%,58,305,312,2,40%,0
Rashard Higgins\HiggRa00,WR,CLE,-41,-50,-23.10%,-25.50%,51,316,258,2,55%,1
Ricardo Louis\LouiRi00,WR,CLE,-50,-57,-23.00%,-24.40%,61,357,318,0,44%,0
John Brown\BrowJo02,WR,ARI,-51,-29,-24.40%,-19.30%,55,299,278,3,38%,0
Bruce Ellington\ElliBr00,WR,HOU,-53,-61,-24.50%,-26.30%,57,329,285,2,51%,1
Corey Davis\DaviCo03,WR,TEN,-88,-97,-30.20%,-31.90%,65,375,279,0,52%,1
Zay Jones\JoneZa00,WR,BUF,-131,-119,-35.20%,-33.10%,74,316,279,2,36%,0
Brice Butler\ButlBr00,WR,DAL,135,133,61.60%,60.60%,23,319,346,3,65%,0
Kenny Golladay\GollKe00,WR,DET,130,126,21.90%,20.70%,48,477,498,3,58%,0
Donte Moncrief\MoncDo00,WR,IND,94,88,11.40%,10.00%,47,391,455,2,55%,0
Cody Latimer\LatiCo00,WR,DEN,88,88,21.90%,22.00%,31,287,336,2,61%,0
Jarius Wright\WrigJa02,WR,MIN,84,86,29.00%,29.60%,25,198,289,2,72%,0
Tyler Boyd\BoydTy00,WR,CIN,76,71,19.50%,17.00%,32,225,306,2,69%,0
Jeremy Kerley\KerlJe00,WR,NYJ,64,72,19.00%,22.80%,27,225,260,1,81%,0
Jakeem Grant\GranJa00,WR,MIA,60,58,22.10%,20.80%,23,210,229,2,61%,0
Mack Hollins\HollMa00,WR,PHI,59,61,25.00%,26.10%,22,226,216,1,73%,0
Justin Hardy\HardJu00,WR,ATL,59,62,12.50%,14.10%,29,221,276,3,69%,1
Odell Beckham\BeckOd00,WR,NYG,57,64,3.50%,5.40%,41,302,374,3,61%,0
Alex Erickson\EricAl01,WR,CIN,54,52,31.10%,29.50%,16,180,180,1,75%,1
Dontrelle Inman\InmaDo00,WR,2TM,54,60,3.60%,5.40%,44,343,350,1,57%,0
Brandon Coleman\ColeBr00,WR,NO,53,57,6.00%,7.20%,37,374,311,3,62%,2
Chris Conley\ConlCh00,WR,KC,50,49,27.20%,26.70%,16,175,175,0,69%,0
Phillip Dorsett\DorsPh00,WR,NE,45,40,21.60%,17.50%,18,194,175,0,67%,0
Andre Holmes\HolmAn00,WR,BUF,43,50,9.80%,13.60%,23,120,217,3,57%,0
Michael Campanaro\CampMi02,WR,BAL,34,32,3.40%,2.40%,27,173,223,1,70%,0
Jordan Matthews\MattJo00,WR,BUF,33,32,-0.60%,-0.80%,36,282,269,1,69%,1
Chester Rogers\RogeCh02,WR,IND,28,15,-3.10%,-7.40%,37,284,278,1,62%,0
Tre McBride\McBrTr00,WR,CHI,27,20,10.60%,4.60%,15,144,133,0,53%,0
Terrelle Pryor\PryoTe00,WR,WAS,23,21,-5.30%,-5.90%,37,240,282,1,54%,0
Jaydon Mickens\MickJa01,WR,JAC,22,29,10.10%,17.70%,11,77,109,2,55%,0
Johnny Holton\HoltJo00,WR,OAK,21,24,3.00%,5.60%,18,218,138,3,50%,2
Josh Bellamy\BellJo02,WR,CHI,20,35,-6.80%,-2.60%,46,376,311,1,52%,0
De'Anthony Thomas\ThomDe05,WR,KC,20,23,4.70%,7.30%,16,143,123,2,88%,0
Brenton Bersin\BersBr00,WR,CAR,19,23,5.60%,9.10%,14,128,115,0,57%,0
Cordarrelle Patterson\PattCo00,WR,OAK,17,5,-7.40%,-11.20%,42,305,294,0,74%,0
Josh Gordon\GordJo02,WR,CLE,16,13,-7.80%,-8.80%,42,335,292,1,43%,0
Tavarres King\KingTa00,WR,NYG,16,23,-7.50%,-5.10%,37,240,267,3,49%,0
Kendrick Bourne\BourKe00,WR,SF,8,-3,-9.70%,-13.90%,34,257,219,0,47%,0
Taywan Taylor\TaylTa00,WR,TEN,6,18,-9.70%,-4.20%,28,231,182,1,57%,0
Louis Murphy\MurpLo00,WR,SF,4,7,-9.40%,-7.50%,17,121,114,1,47%,0
Jordan Taylor\TaylJo01,WR,DEN,3,6,-10.90%,-9.10%,20,142,132,0,65%,0
Brandon Tate\TateBr00,WR,BUF,1,1,-12.10%,-11.60%,14,81,84,1,43%,0
Damiere Byrd\ByrdDa00,WR,CAR,0,-1,-13.00%,-13.10%,17,105,113,2,59%,0
Chris Moore\MoorCh00,WR,BAL,-4,-5,-14.10%,-14.20%,38,248,234,3,47%,0
Amara Darboh\DarbAm00,WR,SEA,-6,-2,-19.10%,-14.90%,13,71,71,0,62%,0
Geronimo Allison\AlliGe01,WR,GB,-8,-12,-15.00%,-16.30%,39,253,257,0,59%,1
Mike Williams\WillMi07,WR,LACH,-10,-24,-18.00%,-25.20%,23,95,143,0,48%,0
Tommylee Lewis\LewiTo00,WR,NO,-12,-10,-22.80%,-21.10%,15,116,76,1,67%,0
Curtis Samuel\SamuCu00,WR,CAR,-12,-10,-18.30%,-17.30%,26,115,153,0,58%,0
Justin Hunter\HuntJu00,WR,PIT,-12,-15,-29.60%,-33.20%,10,23,40,1,40%,0
Leonte Carroo\CarrLe00,WR,MIA,-14,-18,-26.30%,-30.60%,14,69,61,0,50%,0
Demarcus Robinson\RobiDe01,WR,KC,-14,-12,-16.90%,-16.40%,39,212,238,0,54%,0
Noah Brown\BrowNo00,WR,DAL,-14,-14,-29.90%,-29.70%,9,33,47,0,44%,0
Laquon Treadwell\TreaLa00,WR,MIN,-15,-12,-18.20%,-16.90%,35,200,203,0,57%,1
Sammie Coates\CoatSa00,WR,CLE,-16,-18,-32.50%,-34.80%,11,70,43,0,55%,0
Chad Hansen\HansCh00,WR,NYJ,-17,-18,-26.30%,-27.50%,17,94,76,0,53%,0
Kenny Britt\BritKe00,WR,2TM,-20,-23,-19.00%,-19.70%,43,256,232,2,47%,0
Kasen Williams\WillKa02,WR,CLE,-21,-10,-25.10%,-18.90%,18,84,105,0,50%,0
Willie Snead\SneaWi00,WR,NO,-23,-22,-31.00%,-30.60%,16,92,67,0,50%,0
Eli Rogers\RogeEl00,WR,PIT,-28,-23,-22.30%,-20.60%,36,154,195,1,50%,0
Michael Floyd\FloyMi00,WR,MIN,-30,-26,-36.40%,-32.80%,17,78,59,0,59%,0
Josh Malone\MaloJo00,WR,CIN,-30,-30,-36.90%,-36.70%,17,63,57,1,35%,0
Braxton Miller\MillBr03,WR,HOU,-31,-36,-26.90%,-29.30%,29,162,132,1,66%,0
Brandon Marshall\MarsBr00,WR,NYG,-33,-37,-24.90%,-26.40%,33,154,172,0,55%,0
Josh Reynolds\ReynJo00,WR,LARM,-35,-43,-31.00%,-34.90%,24,104,104,1,46%,0
Bryce Treggs\TregBr00,WR,CLE,-36,-37,-40.30%,-41.40%,18,79,52,0,28%,0
Michael Clark\ClarMi00,WR,GB,-37,-48,-46.60%,-56.30%,14,41,34,0,29%,0
ArDarius Stewart\StewAr00,WR,NYJ,-37,-39,-45.40%,-46.80%,15,85,37,0,53%,0
Russell Shepard\ShepRu00,WR,CAR,-38,-40,-27.90%,-28.80%,32,202,146,1,53%,1
Aldrick Robinson\RobiAl00,WR,SF,-43,-59,-24.50%,-28.90%,48,260,231,2,40%,0
Kaelin Clay\ClayKa00,WR,2TM,-45,-43,-43.50%,-41.90%,20,85,52,0,30%,0
Travis Rudolph\RudoTr00,WR,NYG,-49,-49,-43.20%,-43.00%,21,101,58,0,38%,0
Isaiah McKenzie\McKeIs00,WR,DEN,-50,-50,-66.80%,-66.80%,13,29,1,0,31%,0
Pharoh Cooper*+\CoopPh00,WR,LARM,-53,-51,-49.20%,-47.80%,19,84,40,0,58%,0
Markus Wheaton\WheaMa00,WR,CHI,-66,-68,-66.20%,-67.60%,17,51,3,0,18%,0
Tavon Austin\AustTa00,WR,LARM,-99,-98,-68.20%,-67.90%,24,56,-1,0,63%,0
Kamar Aiken\AikeKa00,WR,IND,-144,-150,-55.80%,-57.40%,44,133,60,0,34%,0
Breshad Perriman\PerrBr02,WR,BAL,-158,-150,-71.80%,-68.60%,35,77,-16,0,29%,0
Rob Gronkowski*+\GronRo00,TE,NE,339,347,40.40%,41.60%,105,"1,084","1,337",8,66%,1
Travis Kelce*\KelcTr00,TE,KC,197,206,17.00%,18.10%,122,"1,038","1,115",8,68%,0
Hunter Henry\HenrHu00,TE,LACH,165,183,32.30%,36.70%,62,579,710,4,73%,0
Zach Ertz*\ErtzZa00,TE,PHI,154,129,14.20%,10.70%,110,829,941,8,67%,1
Cameron Brate\BratCa00,TE,TB,154,114,24.70%,16.40%,77,591,742,6,62%,0
Coby Fleener\FleeCo00,TE,NO,107,99,50.10%,45.80%,30,295,390,2,73%,0
O.J. Howard\HowaO.00,TE,TB,101,91,32.20%,28.20%,39,433,436,6,67%,3
Garrett Celek\CeleGa00,TE,SF,89,82,31.50%,28.70%,33,336,387,4,64%,0
Kyle Rudolph*\RudoKy00,TE,MIN,88,91,8.80%,9.40%,81,532,654,8,70%,0
Trey Burton\BurtTr01,TE,PHI,85,86,35.00%,35.70%,31,248,354,5,74%,0
Ed Dickson\DickEd00,TE,CAR,83,78,18.10%,16.40%,48,437,458,1,63%,0
Nick O'Leary\OLeaNi00,TE,BUF,73,77,29.90%,32.00%,32,322,323,2,69%,1
Austin Hooper\HoopAu00,TE,ATL,71,47,9.40%,3.80%,65,526,510,3,75%,0
Vernon Davis\DaviVe00,TE,WAS,61,37,6.70%,1.20%,69,648,500,3,62%,2
Rhett Ellison\ElliRh00,TE,NYG,56,57,17.70%,18.20%,32,235,309,2,75%,0
George Kittle\KittGe00,TE,SF,55,59,5.60%,6.50%,63,515,477,2,68%,0
Jared Cook\CookJa02,TE,OAK,53,76,2.10%,6.20%,86,688,593,2,63%,1
Eric Ebron\EbroEr00,TE,DET,50,24,2.00%,-2.80%,86,574,562,4,62%,1
Darren Fells\FellDa01,TE,DET,48,38,21.90%,16.00%,26,177,242,3,65%,0
Jason Witten*\WittJa00,TE,DAL,40,37,-0.40%,-0.90%,87,560,572,5,72%,0
Tyler Kroft\KrofTy00,TE,CIN,35,45,1.30%,3.80%,62,404,424,7,68%,0
